state(s),date,time,dead,inj,yards,miles,F,counties
IA,05181937,0230,0,0,50,3,F2,HUMBOLDT
IA,05181937,0300,0,0,50,,F2,HAMILTON
IA,05261937,1530,0,0,300,9,F2,BOONE
IA,05261937,1700,1,8,400,20,F3,JASPER /MARSHALL
IA,06141937,0005,0,0,,s5,F2,DUBUQUE
IA,06141937,0100,0,0,,10,F2,JASPER
IA,06181937,1900,0,0,100,12,F2,PLYMOUTH
IA,06191937,2130,0,0,100,f25,F2,MITCHELL /HOWARD /WINNESHIEK
IA,06201937,1900,0,0,50,,F2,DUBUQUE
IA,06201937,2200,0,0,,,F2,WINNESHIEK
IA,07031937,1800,0,0,50,9,F2,FRANKLIN /GRUNDY
IA,07251937,1400,0,0,800,0.2,F2,MADISON
IA,04271938,,0,2,,,F2,MONONA
IA,05181938,1815,0,0,100,15,F3,DUBUQUE /JACKSON
IA,07261938,1400,0,0,,,F2,CLINTON
IA,06021939,1430,0,0,,6,F2,WINNEBAGO
IA,08101939,1545,0,3,,15,F2,ADAIR
IA,08101939,1700,0,1,800,8,F2,CLARKE
IA,08101939,1740,0,4,400,12,F3,WARREN
IA,08201939,1455,0,1,200,5,F2,SHELBY
IA,10041939,1950,0,1,150,6,F2,EMMET
IA,03281940,1745,0,0,300,slO,F2,CRAWFORD
IA,03281940,1900,0,1,100,1,F2,POLK
IA,06221940,1515,0,1,,2,F2,CASS
IA,06231940,0005,0,0,,1,F2,BOONE
IA,07081940,2330,0,25,,10,F2,SHELBY
IA,04171941,1640,0,5,200,15,F3,POWESHIEK /IOWA
IA,04171941,1730,1,0,100,10,F1,LINN /JONES
IA,04181941,1500,0,0,,s25,F2,FREMONT /MILLS /MONTGOMERY
IA,04181941,1500,0,0,,s22,F2,MILLS /IOTTAWATTAMIE
IA,04181941,1610,0,0,,5,F2,GUTHRIE
IA,04181941,1630,0,0,,05,F2,GUTHRIE /DALLAS /GREENE /BOONE
IA,04191941,1710,0,0,,4,F2,WASHINGTON
IA,04191941,1730,0,0,50,15,F2,CEDAR
IA,04191941,1800,0,0,30,5,F2,CEDAR /CLINTON
